utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
5035,MOT,mother,bah parce qu'il fait pas très beau .,,, ,Anae/2428.cha,BRO,clara,,,
5036,OBS,Investigator,et vous êtes tous malades .,,, ,Anae/2428.cha,BRO,clara,,,
5037,MOT,mother,on ira s(e) promener chez le docteur tout à l'heure !,,, ,Anae/2428.cha,BRO,clara,,,
5038,BRO,Brother,quand Anaé elle sera chez le docteur ?,,, ,Anae/2428.cha,MOT,clara,,,
5039,MOT,mother,oui et bah ?,,, ,Anae/2428.cha,BRO,clara,,,
5040,BRO,Brother,on va s(e) promener quand Anaé elle ...,,, ,Anae/2428.cha,MOT,clara,,,
5041,MOT,mother,bah non on ira s(e) promener demain peut-être .,,, ,Anae/2428.cha,BRO,clara,,,
5042,MOT,mother,puis demain on va commencer les préparatifs pour Noël .,,, ,Anae/2428.cha,BRO,clara,,,
5043,MOT,mother,on va faire les sablés .,,, ,Anae/2428.cha,BRO,clara,,,
5044,MOT,mother,le bateau en pain d' épice .,%act MOT caresse les cheveux de CHI,,%act MOT caresse les cheveux de CHI ,Anae/2428.cha,BRO,clara,,,
5045,CHI,target_child,< .,%act CHI mange,,%act CHI mange ,Anae/2428.cha,NA,clara,,,
5046,BRO,Brother,c'est Arthur qui xxx .,,, ,Anae/2428.cha,MOT,clara,,,
5047,MOT,mother,< les décorations .,,, ,Anae/2428.cha,BRO,clara,,,
5048,CHI,target_child,.,%act CHI regarde MOT,,%act CHI regarde MOT ,Anae/2428.cha,NA,clara,,,
5049,MOT,mother,on fera des décorations demain ?,,, ,Anae/2428.cha,1,clara,,,
5050,MOT,mother,Anaé ?,,, ,Anae/2428.cha,1,clara,,,
5051,BRO,Brother,< ouais !,,, ,Anae/2428.cha,MOT,clara,,,
5052,CHI,target_child,[=! hoche la tête] .,,, ,Anae/2428.cha,NA,clara,,,
5053,MOT,mother,oui ?,,, ,Anae/2428.cha,1,clara,,,
5054,CHI,target_child,[=! hoche la tête] .,,, ,Anae/2428.cha,NA,clara,,,
5055,MOT,mother,on mettra des boules ?,,, ,Anae/2428.cha,1,clara,,,
5056,MOT,mother,et des guirlandes ?,,, ,Anae/2428.cha,1,clara,,,
5057,CHI,target_child,euh bleues !,,, ,Anae/2428.cha,MOT,clara,,,
5058,MOT,mother,bleues oui !,,, ,Anae/2428.cha,1,clara,,,
5059,BRO,Brother,< partout !,,, ,Anae/2428.cha,1,clara,,,
5060,BRO,Brother,partout [/] partout [/] partout !,,, ,Anae/2428.cha,1,clara,,,
5061,MOT,mother,oui .,,, ,Anae/2428.cha,1,clara,,,
5062,OBS,Investigator,< j'ai l'impression que t(u) aimes le bleu Anaé !,,, ,Anae/2428.cha,1,clara,,,
5063,MOT,mother,[=! rit] .,,, ,Anae/2428.cha,NA,clara,,,
5064,MOT,mother,tu aimes le bleu ?,,, ,Anae/2428.cha,1,clara,,,
5065,BRO,Brother,et du rouge aussi !,,, ,Anae/2428.cha,1,clara,,,
5066,MOT,mother,oh oui aussi du rouge .,,, ,Anae/2428.cha,1,clara,,,
5067,BRO,Brother,puisque le rouge du [//] c'est la couleur préférée du Père Noël !,,, ,Anae/2428.cha,1,clara,,,
5068,MOT,mother,hum .,,, ,Anae/2428.cha,1,clara,,,
5069,MOT,mother,qui est-ce qui va venir pour Noël à notre maison ?,,, ,Anae/2428.cha,1,clara,,,
5070,BRO,Brother,père ...,,, ,Anae/2428.cha,1,clara,,,
5071,MOT,mother,ouais mais y aura aussi les cousins et les cousines .,,, ,Anae/2428.cha,1,clara,,,
5072,MOT,mother,comment ils s'appellent les cousins et les cousines ?,,, ,Anae/2428.cha,1,clara,,,
5073,CHI,target_child,Anouck et Anaé .,,, ,Anae/2428.cha,MOT,clara,,,
5074,MOT,mother,hum ?,,, ,Anae/2428.cha,1,clara,,,
5075,BRO,Brother,Anouck .,,, ,Anae/2428.cha,MOT,clara,,,
