targetchild,speaker,addressee,session,numberoflines,numberofwords,numberofmorphemes,mlu,mlumorphemes,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Anais,mother,ADS,Anais_296b.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_2111a.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_239b.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_2324a.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_2324b.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_2422a.cha,2,9,10,4.5,5,,0,9,0,0
Theotime,mother,ADS,Theotime_252a.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_263a.cha,,,,,,,,,,
Theotime,mother,ADS,Theotime_273a.cha,3,16,20,5.333,6.666,1,1,16,0.666,0
Theotime,mother,ADS,Theotime_2112a.cha,,,,,,,,,,
Anae,child,CDS,Anae_215.cha,51,204,244,4,4.784,0.85,7,58,0.294,0.274
Anae,child,CDS,Anae_2216.cha,,,,,,,,,,
Anae,child,CDS,Anae_2428.cha,110,404,526,3.672,4.781,0.893654822,29,106,0.154,0.401
Anae,child,CDS,Anae_2529.cha,,,,,,,,,,
Anae,child,CDS,Anae_2626.cha,110,436,589,3.963,5.354,0.916666667,24,143,0.181,0.428
Anae,child,CDS,Anae_284.cha,36,110,135,3.055,3.75,0.889,14,57,0.055,0.161
Anae,child,CDS,Anae_2923.cha,,,,,,,,,,
Anae,child,CDS,Anae_2123.cha,1,1,1,1,1,,1,1,0,0
Anae,child,CDS,Anae_21122.cha,7,28,37,4,5.285,0.916666667,2,21,0,0.333
Anae,child,CDS,Anae_317.cha,164,633,778,3.859,4.743,0.866292135,54,117,0.115,0.419
Anais,child,CDS,Anais_239a.cha,,,,,,,,,,
Anais,child,CDS,Anais_247a.cha,19,69,93,3.631,4.894,0.930508475,2,37,0.21,0.368
Anais,child,CDS,Anais_247b.cha,26,100,129,3.846,4.961,0.924444444,4,57,0.192,0.607
Anais,child,CDS,Anais_242a.cha,,,,,,,,,,
Anais,child,CDS,Anais_242b.cha,,,,,,,,,,
Anais,child,CDS,Anais_2511a.cha,,,,,,,,,,
