keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020100cd.cha 569 11221 569  53   9.3145870 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020800ef.cha 320 11221 320 306  95.6250000 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020500ab.cha 627 11221 627  37   5.9011164 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020800cd.cha 371 11221 371 135  36.3881402 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-030000ab.cha 277 11221 277  37  13.3574007 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020700ab.cha 366 11221 366  29   7.9234973 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020400ab.cha 741 11221 741  49   6.6126856 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020400cd.cha 738 11221 738  12   1.6260163 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020100ab.cha 428 11221 428 175  40.8878505 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-021100cd.cha 550 11221 550  92  16.7272727 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020200ab.cha 998 11221 998  78   7.8156313 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-021100ab.cha 232 11221 232  84  36.2068966 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020600ab.cha 444 11221 444 166  37.3873874 13.742090723
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020700cd.cha 632 11221 632  23   3.6392405  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020500ab.cha 627 11221 627  10   1.5948963  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020500cd.cha 970 11221 970  34   3.5051546  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020600ab.cha 444 11221 444   5   1.1261261  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020600cd.cha 393 11221 393   3   0.7633588  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020900cd.cha 359 11221 359  22   6.1281337  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020200ab.cha 998 11221 998  17   1.7034068  3.012209251
