keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-031000e.cha  592   65 10.97972973  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040000ab.cha 1050   14  1.33333333  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-030800ab.cha  313    7  2.23642173  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040300cd.cha  608   11  1.80921053  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040500ab.cha  500    1  0.20000000  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040700ab.cha  295   25  8.47457627  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-030900a.cha  415    8  1.92771084  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040100ef.cha  630    2  0.31746032  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-030800cd.cha  457    2  0.43763676  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040500cd.cha  774   21  2.71317829  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040700cd.cha  307    1  0.32573290  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040100ab.cha 1027    7  0.68159688  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040300ab.cha  998    6  0.60120240  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-031000ab.cha 1128   29  2.57092199  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-030800ef.cha  310    1  0.32258065  1.6927083
