keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Theotime ADS child  137  214  4.69  3.12 Theotime/239b.cha  485  26  5.36082474   156.2044
Theotime ADS child  137  214  4.69  3.12 Theotime/252a.cha  483  46  9.52380952   156.2044
Theotime ADS investigator   16   22  0.56  0.17 Theotime/2422a.cha  524   2  0.38167939   137.5000
Theotime ADS investigator   16   22  0.56  0.17 Theotime/239b.cha  485   3  0.61855670   137.5000
Theotime ADS investigator   16   22  0.56  0.17 Theotime/2324a.cha  465   3  0.64516129   137.5000
Theotime ADS investigator   16   22  0.56  0.17 Theotime/263a.cha  469   2  0.42643923   137.5000
Theotime ADS investigator   16   22  0.56  0.17 Theotime/252a.cha  483   4  0.82815735   137.5000
Theotime ADS investigator   16   22  0.56  0.17 Theotime/2111a.cha  444   2  0.45045045   137.5000
Theotime ADS mother    5 3877  0.55  0.24 Theotime/273a.cha  417   3  0.71942446 77540.0000
Theotime ADS mother    5 3877  0.55  0.24 Theotime/2422a.cha  524   2  0.38167939 77540.0000
Theotime CDS child   58  214  1.72  1.02 Theotime/2324a.cha  465   2  0.43010753   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/2422a.cha  524  19  3.62595420   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/252a.cha  483   9  1.86335404   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/263a.cha  469   7  1.49253731   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/239b.cha  485  10  2.06185567   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/2112a.cha  354   3  0.84745763   368.9655
Theotime CDS child   58  214  1.72  1.02 Theotime/2324b.cha  474   8  1.68776371   368.9655
Theotime CDS investigator    6   22  0.28  0.10 Theotime/2111a.cha  444   2  0.45045045   366.6667
Theotime CDS investigator    6   22  0.28  0.10 Theotime/2422a.cha  524   1  0.19083969   366.6667
Theotime CDS investigator    6   22  0.28  0.10 Theotime/263a.cha  469   1  0.21321962   366.6667
Theotime CDS investigator    6   22  0.28  0.10 Theotime/273a.cha  417   1  0.23980815   366.6667
Theotime CDS investigator    6   22  0.28  0.10 Theotime/2112a.cha  354   1  0.28248588   366.6667
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/252a.cha  483 360 74.53416149   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/2324b.cha  474 463 97.67932489   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/2324a.cha  465 403 86.66666667   105.6115
