targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Hlobohang,child,CDS,Hlobohang-020700ab.cha,184,512,2.782,0.911354581673,35,188,.092,.450
Hlobohang,child,CDS,Hlobohang-020700cd.cha,196,547,2.790,0.893668528864,42,134,.142,.329
Hlobohang,child,CDS,Hlobohang-020800ab.cha,289,726,2.512,0.865223463687,94,182,.242,.476
Hlobohang,child,CDS,Hlobohang-020800cd.cha,71,176,2.478,0.846987951807,20,76,.352,.605
Hlobohang,child,CDS,Hlobohang-020800ef.cha,,,,,,,,.666
Hlobohang,child,CDS,Hlobohang-020900ab.cha,152,409,2.690,0.897493734336,35,146,.184,.648
Hlobohang,child,CDS,Hlobohang-020900cd.cha,206,498,2.417,0.888524590164,55,160,.179,.625
Hlobohang,child,CDS,Hlobohang-020900e.cha,55,126,2.290,0.900862068966,22,60,.036,.596
Hlobohang,child,CDS,Hlobohang-030000ab.cha,25,66,2.640,0.9125,4,34,.160,.880
Hlobohang,child,CDS,Hlobohang-030000cd.cha,104,287,2.759,0.8440433213,18,100,.182,.596
Litlhare,child,CDS,Litlhare-020100ab.cha,443,1015,2.291,0.776815920398,145,162,.487,.581
Litlhare,child,CDS,Litlhare-020100cd.cha,139,347,2.496,0.794065281899,34,108,.546,.625
Litlhare,child,CDS,Litlhare-020100ef.cha,511,1194,2.336,0.786570945946,173,218,.506,.667
Litlhare,child,CDS,Litlhare-020200ab.cha,148,447,3.020,0.860869565217,26,170,.047,.406
Litlhare,child,CDS,Litlhare-020200cd.cha,99,260,2.626,0.8172,25,73,.232,.395
Litlhare,child,CDS,Litlhare-020400ab.cha,332,883,2.659,0.838946162657,85,212,.126,.467
Litlhare,child,CDS,Litlhare-020400cd.cha,299,707,2.364,0.852510760402,88,188,.117,.399
Litlhare,child,CDS,Litlhare-020500ab.cha,445,1182,2.656,0.861518771331,104,318,.258,.507
Litlhare,child,CDS,Litlhare-020500cd.cha,333,1010,3.033,0.8534,63,236,.342,.459
Litlhare,child,CDS,Litlhare-020500ef.cha,,,,,,,,1.000
Litlhare,child,CDS,Litlhare-030000ab.cha,144,362,2.513,0.853125,43,122,.104,.539
Litlhare,child,CDS,Litlhare-030000cd.cha,302,845,2.798,0.890299401198,77,258,.076,.397
Litlhare,child,CDS,Litlhare-020600ab.cha,,,,,,,,1.000
