"register" "speakers" "keychild" "session" "nb_utt"
"CDS" "child" "Litlhare" "Litlhare-021000cd.cha" 322
"OCDS" "child" "Litlhare" "Litlhare-021000cd.cha" 38
"CDS" "adult" "Litlhare" "Litlhare-030000ab.cha" 6
"ADS" "child" "Litlhare" "Litlhare-030000ab.cha" 7
"CDS" "child" "Litlhare" "Litlhare-030000ab.cha" 144
"OCDS" "child" "Litlhare" "Litlhare-030000ab.cha" 13
"CDS" "mother" "Litlhare" "Litlhare-030000ab.cha" 250
"OCDS" "mother" "Litlhare" "Litlhare-030000ab.cha" 14
"ADS" "child" "Litlhare" "Litlhare-030000cd.cha" 22
"CDS" "child" "Litlhare" "Litlhare-030000cd.cha" 302
"OCDS" "child" "Litlhare" "Litlhare-030000cd.cha" 3
"CDS" "mother" "Litlhare" "Litlhare-030000cd.cha" 291
"OCDS" "mother" "Litlhare" "Litlhare-030000cd.cha" 47
"unclassified" "mother" "Litlhare" "Litlhare-030000cd.cha" 2
"ADS" "adult" "Litlhare" "Litlhare-030200ab.cha" 5
"CDS" "adult" "Litlhare" "Litlhare-030200ab.cha" 10
"OCDS" "adult" "Litlhare" "Litlhare-030200ab.cha" 2
"ADS" "child" "Litlhare" "Litlhare-030200ab.cha" 69
"CDS" "child" "Litlhare" "Litlhare-030200ab.cha" 263
"OCDS" "child" "Litlhare" "Litlhare-030200ab.cha" 23
"ADS" "mother" "Litlhare" "Litlhare-030200ab.cha" 9
"CDS" "mother" "Litlhare" "Litlhare-030200ab.cha" 389
"OCDS" "mother" "Litlhare" "Litlhare-030200ab.cha" 18
"CDS" "adult" "Litlhare" "Litlhare-030200cd.cha" 11
"OCDS" "adult" "Litlhare" "Litlhare-030200cd.cha" 2
"ADS" "child" "Litlhare" "Litlhare-030200cd.cha" 20
"CDS" "child" "Litlhare" "Litlhare-030200cd.cha" 384
"OCDS" "child" "Litlhare" "Litlhare-030200cd.cha" 44
"unclassified" "child" "Litlhare" "Litlhare-030200cd.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-030200cd.cha" 3
"CDS" "mother" "Litlhare" "Litlhare-030200cd.cha" 314
"OCDS" "mother" "Litlhare" "Litlhare-030200cd.cha" 25
"CDS" "adult" "Neuoe" "Neuoe-030800ab.cha" 59
"OCDS" "adult" "Neuoe" "Neuoe-030800ab.cha" 118
"unclassified" "adult" "Neuoe" "Neuoe-030800ab.cha" 1
"ADS" "child" "Neuoe" "Neuoe-030800ab.cha" 55
"CDS" "child" "Neuoe" "Neuoe-030800ab.cha" 27
"OCDS" "child" "Neuoe" "Neuoe-030800ab.cha" 2
"OCDS" "mother" "Neuoe" "Neuoe-030800ab.cha" 16
"OCDS" "adult" "Neuoe" "Neuoe-030800cd.cha" 19
"ADS" "child" "Neuoe" "Neuoe-030800cd.cha" 66
"CDS" "child" "Neuoe" "Neuoe-030800cd.cha" 24
"OCDS" "child" "Neuoe" "Neuoe-030800cd.cha" 184
"CDS" "mother" "Neuoe" "Neuoe-030800cd.cha" 17
"OCDS" "mother" "Neuoe" "Neuoe-030800cd.cha" 62
"CDS" "adult" "Neuoe" "Neuoe-030800ef.cha" 3
"OCDS" "adult" "Neuoe" "Neuoe-030800ef.cha" 16
"ADS" "child" "Neuoe" "Neuoe-030800ef.cha" 74
"CDS" "child" "Neuoe" "Neuoe-030800ef.cha" 27
"OCDS" "child" "Neuoe" "Neuoe-030800ef.cha" 76
"unclassified" "child" "Neuoe" "Neuoe-030800ef.cha" 1
"OCDS" "mother" "Neuoe" "Neuoe-030800ef.cha" 82
"ADS" "child" "Neuoe" "Neuoe-030900a.cha" 16
"CDS" "child" "Neuoe" "Neuoe-030900a.cha" 65
"OCDS" "child" "Neuoe" "Neuoe-030900a.cha" 261
"CDS" "mother" "Neuoe" "Neuoe-030900a.cha" 9
"OCDS" "mother" "Neuoe" "Neuoe-030900a.cha" 38
"OCDS" "adult" "Neuoe" "Neuoe-030900b.cha" 5
