utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18967	MOT	mother	chut				Anais/247b.cha	1	clara						Anais	mother	Keychild
18980	MOT	mother	qu'estce que tu me vends Ana?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18989	MOT	mother	il est pas beau?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18991	MOT	mother	ça c'est un sou ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
18993	MOT	mother	c'est celui de /				Anais/247b.cha	1	clara						Anais	mother	Keychild
18995	MOT	mother	c'est celui de la maison des sorcières				Anais/247b.cha	1	clara						Anais	mother	Keychild
18997	MOT	mother	tu crois?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18998	MOT	mother	non y en a une pour toi et une pour euh Chl				Anais/247b.cha	1	clara						Anais	mother	Keychild
18999	MOT	mother	donne à Chl va				Anais/247b.cha	1	clara						Anais	mother	Keychild
19008	MOT	mother	tu as donné tes sous?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19010	MOT	mother	le bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19014	MOT	mother	ah ça y est				Anais/247b.cha	1	clara						Anais	mother	Keychild
19015	MOT	mother	il est réveillé ton bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19018	MOT	mother	elle est trop grosse l'écharpe?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19020	MOT	mother	on l'enlève?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19023	MOT	mother	tu veux le mettre le tablier?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19025	MOT	mother	non?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19026	MOT	mother	tiens				Anais/247b.cha	1	clara						Anais	mother	Keychild
19030	MOT	mother	t'enlèves le chapeau aussi?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19035	MOT	mother	fait dodo?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19039	MOT	mother	ah oui				Anais/247b.cha	1	clara						Anais	mother	Keychild
