utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
31502	MOT	mother	comme un petit lac				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31504	MOT	mother	mais beaucoup plus petit				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31505	MOT	mother	oh remarque				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31507	MOT	mother	qui estce qui est là là?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31509	MOT	mother	c'est qui?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31511	MOT	mother	qu'estce que c'est ça là?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31512	MOT	mother	tu reconnais pas?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31514	MOT	mother	c'est une grenouille				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31516	MOT	mother	c'est une grenouille oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31518	MOT	mother	oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31520	MOT	mother	oh  les vaches ronflent sur la paille				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31521	MOT	mother	une vache et puis deux petits veaux				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31522	MOT	mother	et qui s'amuse à grimper?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31524	MOT	mother	les souris oui			%sit  Tim promène son doigt sur le livre/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31525	MOT	mother	et lui qu'estce qu'il fait?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31526	MOT	mother	cet www oiseau il				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31528	MOT	mother	il fait quoi?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31530	MOT	mother	il dort oui il est tout calme				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31532	MOT	mother	les souris elles s'amusent hein				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31533	MOT	mother	je sais pas ce qu'elles font				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31534	MOT	mother	elles cherchent à manger tranquilles				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31535	MOT	mother	elles se disent ils dorment ils vont pas me voir				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31536	MOT	mother	les poules sont blotties dans leur nid				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31537	MOT	mother	oh bah ils dorment tous				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31538	MOT	mother	ça y est ils se sont endormis les poussins là				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31539	MOT	mother	même la même la maman				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31540	MOT	mother	tout le monde dort			%sit  Tim essaie de tourner la page/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31541	MOT	mother	les canards rêvent au milieu des roseaux				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
